"Slider","Slider"
"Manage slides","Manage slides"
"Grid of Slides","Grid of Slides"
"Image","Image"
"Position","Position"
"Edit Slide","Edit Slide"
"General Information","General Information"
"New Slide","New Slide"
"Image","Image"
"URL","URL"
"Use {{baseSecureUrl}} and {{baseUrl}} if needed.","Use {{baseSecureUrl}} and {{baseUrl}} if needed."
"Slide saved successfully.","Slide saved successfully."
"Slide deleted successfully.","Slide deleted successfully."
"Title","Title"
"Subtitle","Subtitle"
"Image alternative text","Image alternative text"
