"Slider","Slider"
"Manage slides","Gérer les slides"
"Grid of Slides","Gestion des slides"
"Image","Image"
"Position","Position"
"Edit Slide","Éditer le slide"
"General Information","Information générale"
"New Slide","Ajouter un slide"
"Image","Image"
"URL","URL"
"Use {{baseSecureUrl}} and {{baseUrl}} if needed.","Utiliser {{baseSecureUrl}} et {{baseUrl}} si nécéssaire."
"Slide saved successfully.","Slide sauvegardé avec succès."
"Slide deleted successfully.","Slide supprimé avec succès."
"Title","Titre"
"Subtitle","Sous-titre"
"Image alternative text","Texte alternatif de l'image"
